Time,Death due to AIDS,Recruitment (Homosexual Men),People living with AIDS,Recruitment (Heterosexual Men),Untreated Infected (Women),Susceptible (Heterosexual Men),Untreated Infected (Heterosexual Men),Untreated Infected (Homosexual Men),Treated with ART,Recruitment (Women),Susceptible (Homosexual Men),Susceptible (Women),Natural Death
0.0000,0.0000,0.0000,47.0000,0.0000,6.0000,171173.0000,29.0000,79.0000,107.0000,0.0000,2446.0000,189994.0000,0.0000
1.0000,14.4724,0.0000,41.3196,0.0000,9.0165,168959.4189,37.2082,244.0161,165.6866,0.0000,2192.8324,187553.2064,4663.8230
2.0000,28.2851,0.0000,42.3758,0.0000,11.0890,166774.4634,42.7985,341.2713,263.3894,0.0000,1965.8683,185143.7689,9267.6902
3.0000,43.1101,0.0000,46.9822,0.0000,12.4945,164617.7634,46.5398,392.6100,381.4530,0.0000,1762.3956,182765.2848,13812.3667
4.0000,59.7786,0.0000,53.1905,0.0000,13.4289,162488.9535,48.9760,413.2753,507.4660,0.0000,1579.9829,180417.3562,18298.5921
5.0000,78.6145,0.0000,59.8442,0.0000,14.0310,160387.6730,50.4916,413.8632,633.3519,0.0000,1416.4504,178099.5908,22727.0894
6.0000,99.6462,0.0000,66.2874,0.0000,14.3986,158313.5660,51.3588,401.7009,754.0267,0.0000,1269.8440,175811.6010,27098.5704
7.0000,122.7393,0.0000,72.1755,0.0000,14.6012,156266.2809,51.7700,381.8215,866.4572,0.0000,1138.4117,173553.0042,31413.7385
8.0000,147.6790,0.0000,77.3529,0.0000,14.6878,154245.4710,51.8611,357.6502,969.0016,0.0000,1020.5830,171323.4230,35673.2903
9.0000,174.2188,0.0000,81.7759,0.0000,14.6930,152250.7939,51.7285,331.4894,1060.9495,0.0000,914.9499,169122.4845,39877.9166
10.0000,202.1090,0.0000,85.4636,0.0000,14.6414,150281.9116,51.4402,304.8592,1142.2016,0.0000,820.2501,166949.8208,44028.3024
